sentence,pattern,cmi,num_switches,language_tags
I was thinking we should google the diet is hafte,english_matrix_hindi_np,0.200,1,EN EN EN EN EN EN EN EN HI HI
Tune mujhe react kiya kya,intraword,0.200,2,HI HI EN HI HI
Make sure you install the roadmap pehle,english_matrix_hindi_np,0.143,1,EN EN EN EN EN EN HI
Thursday ko 12 PM tak submit karna hai,numerical_entity,0.375,3,EN HI EN EN HI HI HI HI
main khud postpone kar lunga,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
Tune use repost kiya kya,intraword,0.200,2,HI HI EN HI HI
main soch raha tha. The selfie is really interesting,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
Kal meeting hai. Make sure you reschedule the snack,inter_sentential,0.333,1,HI HI HI EN EN EN EN EN EN
Kal party mein bahut zyada fun tha,everyday_conversation,0.286,4,HI EN HI HI HI EN HI
Bahut thak gaya hoon. This party is not helping,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
I have a review baad mein . hum ready hoon,inter_sentential,0.400,5,EN EN EN EN HI HI EN HI EN HI
The sprint got cancelled. main khush hoon,inter_sentential,0.429,1,EN EN EN EN HI HI HI
Please yeh connect mat karo abhi,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
meri friend coffee dekh ke thoda khush ho gaya,emotional_expression,0.111,2,HI HI EN HI HI HI HI HI HI
Aaj raat course ka plan kya hai,hindi_matrix_english_np,0.143,2,HI HI EN HI HI HI HI
Isko approve karna hai is hafte,hindi_matrix_english_verb,0.167,2,HI EN HI HI HI HI
"Pehle screenshot karo, phir baat karna",intraword,0.167,2,HI EN HI HI HI HI
"Sach mein, this solution ne mujhe thodi si khush kar diya",emotional_expression,0.182,2,HI HI EN EN HI HI HI HI HI HI HI
Kal meeting hai. Make sure you upload the smoothie,inter_sentential,0.333,1,HI HI HI EN EN EN EN EN EN
Maine use unfollow kar diya,intraword,0.200,2,HI HI EN HI HI
Usne mujhe block kar diya,intraword,0.200,2,HI HI EN HI HI
Yeh kaam ho gaya. Now let's focus on the deployment,inter_sentential,0.400,1,HI HI HI HI EN EN EN EN EN EN
main Teams pe 4:30 PM available hoon,numerical_entity,0.429,4,HI EN HI EN EN HI HI
yeh sunke bura laga after the gym,emotional_expression,0.429,1,HI HI HI HI EN EN EN
Aaj raat class ka plan kya hai,hindi_matrix_english_np,0.143,2,HI HI EN HI HI HI HI
30th tak payment kar dena,numerical_entity,0.200,1,EN HI HI HI HI
Uski post share kar liya,intraword,0.200,2,HI HI EN HI HI
"The trip was serious , yaar",tag_switching,0.167,1,EN EN EN EN EN HI
Usne mujhe zoom kar diya,intraword,0.200,2,HI HI EN HI HI
Kal ka code review parso hai,hindi_matrix_english_np,0.333,2,HI HI EN EN HI HI
Kya tune use forward kar diya,intraword,0.167,2,HI HI HI EN HI HI
Yeh series zyada good tha,hindi_matrix_english_np,0.400,4,HI EN HI EN HI
Yeh call karna itna mushkil nahi hai,hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
I finished the presentation . bilkul acha laga,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
Tera story itna viral ho gaya,hindi_matrix_english_np,0.333,4,HI EN HI EN HI HI
Ab main use edit kar lunga,intraword,0.167,2,HI HI HI EN HI HI
This movie is amazing . Mujhe nahi pasand,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
Make sure you manage the one-on-one abhi,english_matrix_hindi_np,0.143,1,EN EN EN EN EN EN HI
"Aaj 5th tarikh hai, kal deadline hai",numerical_entity,0.143,2,HI EN HI HI HI HI HI
Is college ke liye bilkul taiyar nahi hoon,hindi_matrix_english_np,0.125,2,HI EN HI HI HI HI HI HI
Please yeh comment mat karo aaj,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
"Yaar, use screenshot kar de na",intraword,0.167,2,HI HI EN HI HI HI
Kal party mein bilkul fun tha,everyday_conversation,0.333,4,HI EN HI HI EN HI
Yeh workout zyada tough tha,everyday_conversation,0.400,4,HI EN HI EN HI
pull request next Friday ko 20th ko reschedule ho gaya,numerical_entity,0.500,3,EN EN EN EN HI EN HI HI HI HI
Usne mujhe like kar diya,intraword,0.200,2,HI HI EN HI HI
Can you manage this abhi ?,english_matrix_hindi_np,0.167,2,EN EN EN EN HI EN
Please yeh stream mat karo aaj,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
We need to google this aaj,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
"meri behen cab book kar liya, pehle aa jaega",everyday_conversation,0.111,2,HI HI EN HI HI HI HI HI HI
1st tak payment kar dena,numerical_entity,0.200,1,EN HI HI HI HI
"Usne stream kar diya, ab kya karein",hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
Please send me the meeting abhi,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
"dekho , this chat needs to be review pehle",tag_switching,0.222,2,HI EN EN EN EN EN EN EN HI
mujhe bohot achha laga after the lunch,emotional_expression,0.429,1,HI HI HI HI EN EN EN
"bata na , the bug is valid",tag_switching,0.286,1,HI HI EN EN EN EN EN
main use upload kar dunga,intraword,0.200,2,HI HI EN HI HI
"acha , the update is interesting",tag_switching,0.167,1,HI EN EN EN EN EN
"aap cab book kar liya, baad mein aa jaega",everyday_conversation,0.111,2,HI EN HI HI HI HI HI HI HI
main khud stream kar lunga,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
"Sach mein, this problem ne mujhe zyada khush kar diya",emotional_expression,0.200,2,HI HI EN EN HI HI HI HI HI HI
"Honestly, main yeh presentation se thak gaya hoon",tag_switching,0.250,3,EN HI HI EN HI HI HI HI
"sun na , I think the sprint is amazing",tag_switching,0.222,1,HI HI EN EN EN EN EN EN EN
"The presentation is due parso , please check",english_matrix_hindi_np,0.125,2,EN EN EN EN HI EN EN EN
aap semester mein bahut achha hai,hindi_matrix_english_np,0.167,2,HI EN HI HI HI HI
"Aaj 20th tarikh hai, kal deadline hai",numerical_entity,0.143,2,HI EN HI HI HI HI HI
mujhe bohot achha laga . The idea was really short,inter_sentential,0.400,1,HI HI HI HI EN EN EN EN EN EN
hum gym jaana ekdum mushkil ho gaya hai,everyday_conversation,0.125,2,HI EN HI HI HI HI HI HI
"hum zoom call pe tha, connection baar baar jaata tha",everyday_conversation,0.300,4,HI EN EN HI HI EN HI HI HI HI
Ab main use unfriend kar lunga,intraword,0.167,2,HI HI HI EN HI HI
Jaldi se finalize kar do,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
Please send me the presentation pehle,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
"Sach keh raha hoon, this movie best hai",emotional_expression,0.250,2,HI HI HI HI EN EN HI HI
"matlab , I can't believe this delivery itna lamba tha",emotional_expression,0.400,2,HI EN EN EN EN EN EN HI HI HI
Bahut thak gaya hoon. This coffee is not helping,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
tension ho rahi hai after the order,emotional_expression,0.429,2,EN HI HI HI EN EN EN
Samajh nahi aa raha. The feature keeps giving errors,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
"Usne comment kar diya, ab kya karein",hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
"Yaar, this restaurant ka khana ekdum good hai",everyday_conversation,0.375,4,HI EN EN HI HI HI EN HI
"Yaar, use upload kar de na",intraword,0.167,2,HI HI EN HI HI HI
Mera laptop slow ho gaya hai,everyday_conversation,0.333,2,HI EN EN HI HI HI
I was thinking we should manage the idea raat ko,english_matrix_hindi_np,0.200,1,EN EN EN EN EN EN EN EN HI HI
"Sach mein, this subscription ne mujhe ekdum khush kar diya",emotional_expression,0.200,2,HI HI EN EN HI HI HI HI HI HI
main khush hoon after the decision,emotional_expression,0.500,1,HI HI HI EN EN EN
I finished the code review . kaafi acha laga,inter_sentential,0.333,1,EN EN EN EN EN EN HI HI HI
main LinkedIn pe 9:30 AM available hoon,numerical_entity,0.429,4,HI EN HI EN EN HI HI
I have a exam baad mein . main ready hoon,inter_sentential,0.400,5,EN EN EN EN HI HI EN HI EN HI
Jaldi se follow kar do,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
Kal party mein bilkul fun tha,everyday_conversation,0.333,4,HI EN HI HI EN HI
Let's discuss this is hafte after the report,english_matrix_hindi_np,0.250,2,EN EN EN HI HI EN EN EN
Kal ka update parso hai,hindi_matrix_english_np,0.200,2,HI HI EN HI HI
main pehle call karke aata hoon,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
I finished the client call . itna acha laga,inter_sentential,0.333,1,EN EN EN EN EN EN HI HI HI
Yeh kaam ho gaya. Now let's focus on the vlog,inter_sentential,0.400,1,HI HI HI HI EN EN EN EN EN EN
main sprint aaj tak bhej dunga,hindi_matrix_english_np,0.167,2,HI EN HI HI HI HI
"yaar , let's just stream it aaj",tag_switching,0.286,2,HI EN EN EN EN EN HI
main pehle reset karke aata hoon,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
Friday evening ko 5 PM se 6 PM wala slot available hai,numerical_entity,0.500,5,EN EN HI EN EN HI EN EN HI HI HI HI
Yeh naya app bahut zyada useful hai,everyday_conversation,0.286,4,HI HI EN HI HI EN HI
yeh sunke bura laga . I didn't expect the party itna achha hoga,emotional_expression,0.462,2,HI HI HI HI EN EN EN EN EN EN HI HI HI
15th tak payment kar dena,numerical_entity,0.200,1,EN HI HI HI HI
I was thinking we should like the password agli baar,english_matrix_hindi_np,0.200,1,EN EN EN EN EN EN EN EN HI HI
The project got handle aaj shaam ko,english_matrix_hindi_np,0.429,1,EN EN EN EN HI HI HI
"I'll call it pehle , don't worry",english_matrix_hindi_np,0.143,2,EN EN EN HI EN EN EN
main yeh handle karna chahta hoon,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
I finished the report . bilkul acha laga,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
Yeh charge karna zaroori hai,hindi_matrix_english_verb,0.200,2,HI EN HI HI HI
"meri friend return karna hai yeh, size sahi nahi hai",everyday_conversation,0.200,4,HI HI EN HI HI HI EN HI HI HI
yeh sunke bura laga after the diet,emotional_expression,0.429,1,HI HI HI HI EN EN EN
pagal ho jaaunga after the delivery,emotional_expression,0.500,1,HI HI HI EN EN EN
mujhe bohot achha laga . I didn't expect the song itna achha hoga,emotional_expression,0.462,2,HI HI HI HI EN EN EN EN EN EN HI HI HI
Make sure you charge the pull request baad mein,english_matrix_hindi_np,0.222,1,EN EN EN EN EN EN EN HI HI
tag karna padega usse,intraword,0.250,1,EN HI HI HI
Is Friday ko chhutti hai kya,numerical_entity,0.167,2,HI EN HI HI HI HI
mujhe bohot achha laga . I didn't expect the gym itna achha hoga,emotional_expression,0.462,2,HI HI HI HI EN EN EN EN EN EN HI HI HI
Mera laptop slow ho gaya hai,everyday_conversation,0.333,2,HI EN EN HI HI HI
"dekho , let's just search it pehle",tag_switching,0.286,2,HI EN EN EN EN EN HI
Aaj raat meme ka plan kya hai,hindi_matrix_english_np,0.143,2,HI HI EN HI HI HI HI
main one-on-one pe kaam kar raha hoon,hindi_matrix_english_np,0.143,2,HI EN HI HI HI HI HI
"Sach mein, this routine ne mujhe zyada khush kar diya",emotional_expression,0.200,2,HI HI EN EN HI HI HI HI HI HI
Tumhara movie mujhe mil gaya,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
"meri friend cab book kar liya, abhi aa jaega",everyday_conversation,0.111,2,HI HI EN HI HI HI HI HI HI
Mera laptop slow ho gaya hai,everyday_conversation,0.333,2,HI EN EN HI HI HI
Make sure you prioritize the project parso,english_matrix_hindi_np,0.143,1,EN EN EN EN EN EN HI
Naya database aa gaya hai,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
aap salad lena bhool gaya,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
"Usne post kar diya, ab kya karein",hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
Is update ki wajah se late ho gaya,hindi_matrix_english_np,0.125,2,HI EN HI HI HI HI HI HI
Tera comment bilkul viral ho gaya,hindi_matrix_english_np,0.333,4,HI EN HI EN HI HI
"sach mein , let's just fix it pehle",tag_switching,0.375,2,HI HI EN EN EN EN EN HI
The follow-up got cancelled. hum khush hoon,inter_sentential,0.429,1,EN EN EN EN HI HI HI
"sun na , main yeh salad finish kar dunga",tag_switching,0.444,2,HI HI EN EN EN EN HI HI HI
"arre , this show needs to be cancel abhi",tag_switching,0.222,2,HI EN EN EN EN EN EN EN HI
aap lunch dekh ke bilkul khush ho gaya,emotional_expression,0.125,2,HI EN HI HI HI HI HI HI
"main unfollow karta hoon, tum dekho",hindi_matrix_english_verb,0.167,2,HI EN HI HI HI HI
Yeh order karna itna mushkil nahi hai,hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
"mera dost return karna hai yeh, size sahi nahi hai",everyday_conversation,0.200,4,HI HI EN HI HI HI EN HI HI HI
Kal party mein bahut zyada fun tha,everyday_conversation,0.286,4,HI EN HI HI HI EN HI
mera dost lunch ke liye kahan chalein parso,everyday_conversation,0.125,2,HI HI EN HI HI HI HI HI
Yeh install karna zaroori hai,hindi_matrix_english_verb,0.200,2,HI EN HI HI HI
10th din bacha hai deadline tak,numerical_entity,0.167,1,EN HI HI HI HI HI
"Sach mein, this trip ne mujhe ekdum khush kar diya",emotional_expression,0.200,2,HI HI EN EN HI HI HI HI HI HI
"Pehle download karo, phir baat karna",intraword,0.167,2,HI EN HI HI HI HI
Itna stress hai do din mein se,emotional_expression,0.143,2,HI EN HI HI HI HI HI
Kal meeting hai. Make sure you delegate the menu,inter_sentential,0.333,1,HI HI HI EN EN EN EN EN EN
Is Monday morning ko chhutti hai kya,numerical_entity,0.286,2,HI EN EN HI HI HI HI
"Sach keh raha hoon, this phone best hai",emotional_expression,0.250,2,HI HI HI HI EN EN HI HI
proposal Wednesday ko March 15 ko reschedule ho gaya,numerical_entity,0.444,3,EN EN HI EN EN HI HI HI HI
Samajh nahi aa raha. The update keeps giving errors,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
Yeh Netflix thoda good tha,hindi_matrix_english_np,0.400,4,HI EN HI EN HI
I finished the client call . bahut zyada acha laga,inter_sentential,0.400,1,EN EN EN EN EN EN HI HI HI HI
The one-on-one got cancelled. hum khush hoon,inter_sentential,0.429,1,EN EN EN EN HI HI HI
Aaj ka Google Meet wala project abhi shift ho gaya,numerical_entity,0.300,4,HI HI EN EN HI EN HI HI HI HI
I finished the update . ekdum acha laga,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
"mera bhai online order kiya tha, delivery parso aani chahiye",everyday_conversation,0.200,4,HI HI EN HI HI HI EN HI HI HI
Ab main use scroll kar lunga,intraword,0.167,2,HI HI HI EN HI HI
20th tak payment kar dena,numerical_entity,0.200,1,EN HI HI HI HI
Let's discuss this parso after the feedback,english_matrix_hindi_np,0.143,2,EN EN EN HI EN EN EN
"Yaar, this restaurant ka khana bahut zyada good hai",everyday_conversation,0.333,4,HI EN EN HI HI HI HI EN HI
"The idea was complicated , acha",tag_switching,0.167,1,EN EN EN EN EN HI
crop karna padega usse,intraword,0.250,1,EN HI HI HI
Isko book karna hai agli baar,hindi_matrix_english_verb,0.167,2,HI EN HI HI HI HI
Aaj traffic ekdum bad tha,everyday_conversation,0.400,4,HI EN HI EN HI
Is database mein problem aa rahi hai,hindi_matrix_english_np,0.143,2,HI EN HI HI HI HI HI
"yaar , this feedback needs to be delegate abhi",tag_switching,0.222,2,HI EN EN EN EN EN EN EN HI
"arre , let's just cancel it pehle",tag_switching,0.286,2,HI EN EN EN EN EN HI
The client call got review do din mein,english_matrix_hindi_np,0.375,1,EN EN EN EN EN HI HI HI
"acha , the snack is complicated",tag_switching,0.167,1,HI EN EN EN EN EN
Please yeh reset mat karo parso,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
Yeh google karna itna mushkil nahi hai,hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
Aaj ka report cancel ho gaya,hindi_matrix_english_np,0.167,2,HI HI EN HI HI HI
Can you escalate this kal ?,english_matrix_hindi_np,0.167,2,EN EN EN EN HI EN
Unhone sab ko reply kar liya,intraword,0.167,2,HI HI HI EN HI HI
I have a solution parso . hum ready hoon,inter_sentential,0.333,5,EN EN EN EN HI EN HI EN HI
Could you please connect the review pehle tak chahiye,english_matrix_hindi_np,0.333,1,EN EN EN EN EN EN HI HI HI
Tera status thoda viral ho gaya,hindi_matrix_english_np,0.333,4,HI EN HI EN HI HI
This idea is terrible . Mujhe nahi pasand,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
main yeh escalate karna chahta hoon,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
"dekho , main yeh meeting finish kar dunga",tag_switching,0.500,2,HI EN EN EN EN HI HI HI
maza aa gaya . I didn't expect the subscription itna achha hoga,emotional_expression,0.500,2,HI HI HI EN EN EN EN EN EN HI HI HI
1st tak payment kar dena,numerical_entity,0.200,1,EN HI HI HI HI
Bahut thak gaya hoon. This decision is not helping,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
next Monday ko 12 PM tak submit karna hai,numerical_entity,0.444,3,EN EN HI EN EN HI HI HI HI
Could you please approve the sprint kal tak chahiye,english_matrix_hindi_np,0.333,1,EN EN EN EN EN EN HI HI HI
Tune use screenshot kiya kya,intraword,0.200,2,HI HI EN HI HI
"The project is due kal , please check",english_matrix_hindi_np,0.125,2,EN EN EN EN HI EN EN EN
"haan , this status needs to be handle parso",tag_switching,0.222,2,HI EN EN EN EN EN EN EN HI
main pehle order karke aata hoon,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
Make sure you delegate the status update pehle,english_matrix_hindi_np,0.125,1,EN EN EN EN EN EN EN HI
main Zoom pe 6 PM available hoon,numerical_entity,0.429,4,HI EN HI EN EN HI HI
Mera degree abhi hai,hindi_matrix_english_np,0.250,2,HI EN HI HI
Please send me the project aaj,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
Mera update kaam nahi kar raha,hindi_matrix_english_np,0.167,2,HI EN HI HI HI HI
Mera client call abhi bhi pending hai,hindi_matrix_english_np,0.286,2,HI EN EN HI HI HI HI
Uski post download kar liya,intraword,0.200,2,HI HI EN HI HI
"The code review is due parso , please check",english_matrix_hindi_np,0.111,2,EN EN EN EN EN HI EN EN EN
Monday morning ko 2 PM tak submit karna hai,numerical_entity,0.444,3,EN EN HI EN EN HI HI HI HI
"Sach keh raha hoon, this movie best hai",emotional_expression,0.250,2,HI HI HI HI EN EN HI HI
main yeh message karna chahta hoon,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
main khush hoon . I didn't expect the gym itna achha hoga,emotional_expression,0.500,2,HI HI HI EN EN EN EN EN EN HI HI HI
Usne mujhe download kar diya,intraword,0.200,2,HI HI EN HI HI
main khud prioritize kar lunga,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
"Yaar, this restaurant ka khana itna good hai",everyday_conversation,0.375,4,HI EN EN HI HI HI EN HI
Usne mujhe like kar diya,intraword,0.200,2,HI HI EN HI HI
Google Meet pe 12 PM par milte hain,numerical_entity,0.500,3,EN EN HI EN EN HI HI HI
Ab main use reply kar lunga,intraword,0.167,2,HI HI HI EN HI HI
Monday morning ko 2:30 PM se 9 AM wala slot available hai,numerical_entity,0.500,5,EN EN HI EN EN HI EN EN HI HI HI HI
Bahut thak gaya hoon. This order is not helping,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
"waise , this menu needs to be escalate kal",tag_switching,0.222,2,HI EN EN EN EN EN EN EN HI
aap status dekh ke zyada khush ho gaya,hindi_matrix_english_np,0.125,2,HI EN HI HI HI HI HI HI
I was thinking we should cancel the order raat ko,english_matrix_hindi_np,0.200,1,EN EN EN EN EN EN EN EN HI HI
Isko fix karna hai subah subah,hindi_matrix_english_verb,0.167,2,HI EN HI HI HI HI
"Usne like kar diya, ab kya karein",hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
20th din bacha hai deadline tak,numerical_entity,0.167,1,EN HI HI HI HI HI
Tune mujhe edit kiya kya,intraword,0.200,2,HI HI EN HI HI
thak gaya hoon . I didn't expect the problem itna achha hoga,emotional_expression,0.500,2,HI HI HI EN EN EN EN EN EN HI HI HI
Next Wednesday ko interview hai,numerical_entity,0.400,3,EN EN HI EN HI
tum yeh sunke thoda shocked ho gaya,emotional_expression,0.143,2,HI HI HI HI EN HI HI
Make sure you message the status update abhi,english_matrix_hindi_np,0.125,1,EN EN EN EN EN EN EN HI
Mera takeaway khatam ho gaya,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
Could you please subscribe the client call aaj tak chahiye,english_matrix_hindi_np,0.300,1,EN EN EN EN EN EN EN HI HI HI
Next Monday morning ko interview hai,numerical_entity,0.333,3,EN EN EN HI EN HI
mera dost doctor se milna hai subah subah,everyday_conversation,0.125,2,HI HI EN HI HI HI HI HI
"aap cab book kar liya, pehle aa jaega",everyday_conversation,0.125,2,HI EN HI HI HI HI HI HI
mera dost yeh sunke bahut shocked ho gaya,emotional_expression,0.125,2,HI HI HI HI HI EN HI HI
"mera dost online order kiya tha, delivery parso aani chahiye",everyday_conversation,0.200,4,HI HI EN HI HI HI EN HI HI HI
"yaar , let's just manage it pehle",tag_switching,0.286,2,HI EN EN EN EN EN HI
"Yaar, this restaurant ka khana thodi si good hai",everyday_conversation,0.333,4,HI EN EN HI HI HI HI EN HI
Kya tum post kar sakte ho,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
Naya wifi aa gaya hai,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
"Sach mein, this lunch ne mujhe thodi si khush kar diya",emotional_expression,0.182,2,HI HI EN EN HI HI HI HI HI HI HI
"I'll search it baad mein , don't worry",english_matrix_hindi_np,0.250,2,EN EN EN HI HI EN EN EN
"bata na , I can't believe this movie itna lamba tha",emotional_expression,0.455,2,HI HI EN EN EN EN EN EN HI HI HI
Unhone sab ko zoom kar liya,intraword,0.167,2,HI HI HI EN HI HI
pull request Monday ko end of month ko reschedule ho gaya,numerical_entity,0.455,3,EN EN EN HI EN EN EN HI HI HI HI
Isko save karna hai aaj shaam ko,hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
Kal meeting hai. Make sure you connect the timeline,inter_sentential,0.333,1,HI HI HI EN EN EN EN EN EN
main pehle reset karke aata hoon,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
Please send me the deadline abhi,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
Mera scholarship khatam ho gaya,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
"tum password bhool gaya, ab kya karoon",everyday_conversation,0.143,2,HI EN HI HI HI HI HI
I have a trip pehle . main ready hoon,inter_sentential,0.333,5,EN EN EN EN HI EN HI EN HI
"arre , can you search this parso ?",tag_switching,0.250,3,HI EN EN EN EN EN HI EN
The code review got cancelled. main khush hoon,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
The one-on-one got cancelled. hum khush hoon,inter_sentential,0.429,1,EN EN EN EN HI HI HI
end of week tak payment kar dena,numerical_entity,0.429,1,EN EN EN HI HI HI HI
Is syllabus ke liye bilkul taiyar nahi hoon,hindi_matrix_english_np,0.125,2,HI EN HI HI HI HI HI HI
I was thinking we should discuss the lunch subah subah,english_matrix_hindi_np,0.200,1,EN EN EN EN EN EN EN EN HI HI
